ave_filt_force,med_filt_force,ave_filt_mag,med_filt_mag,Class
-0.16,0.0,-715.8400000000001,-731.0,1
-0.16,0.0,-715.85,-731.0,1
-0.15999999999999998,0.0,-715.86,-731.0,1
-0.15999999999999998,0.0,-715.84,-731.0,1
-0.15999999999999998,0.0,-715.8199999999999,-731.0,1
-0.15999999999999998,0.0,-701.12,-731.0,1
-0.15999999999999998,0.0,-701.09,-731.0,1
-0.14,0.0,-701.08,-731.0,1
-0.14,0.0,-701.0199999999999,-731.0,1
-0.12,0.0,-701.0099999999999,-731.0,1
-0.1,0.0,-700.9399999999999,-730.5,1
-0.1,0.0,-700.8599999999999,-730.0,1
-0.12,0.0,-700.86,-730.0,1
-0.12,0.0,-700.8800000000001,-730.5,1
-0.12,0.0,-700.8700000000001,-730.25,1
-0.12,0.0,-700.8500000000001,-730.0,1
-0.1,0.0,-700.8100000000001,-730.0,1
-0.1,0.0,-700.83,-730.25,1
-0.1,0.0,-700.84,-730.25,1
-0.1,0.0,-700.84,-730.25,1
-0.12,0.0,-700.83,-730.25,1
-0.13999999999999999,0.0,-700.86,-730.25,1
-0.13999999999999999,0.0,-700.85,-730.25,1
-0.14,0.0,-700.8000000000001,-730.25,1
-0.14,0.0,-700.82,-730.25,1
-0.14,0.0,-700.81,-730.25,1
-0.16,0.0,-700.8,-730.25,1
-0.16,0.0,-715.5699999999999,-730.5,1
-0.16,0.0,-715.56,-730.5,1
-0.14,0.0,-715.58,-730.5,1
-0.12,0.0,-715.62,-730.5,1
-0.13999999999999999,0.0,-715.62,-730.5,1
-0.13999999999999999,0.0,-715.63,-730.5,1
-0.14,0.0,-700.8800000000001,-730.5,1
-0.14,0.0,-700.94,-730.5,1
-0.18000000000000002,0.0,-700.95,-730.5,1
-0.18000000000000002,0.0,-701.0,-730.75,1
-0.18,0.0,-701.05,-730.75,1
-0.19999999999999998,0.0,-701.0999999999999,-731.0,1
-0.19999999999999998,0.0,-701.11,-731.0,1
-0.19999999999999998,0.0,-701.1700000000001,-731.0,1
-0.2,0.0,-701.14,-731.0,1
-0.2,0.0,-701.1600000000001,-731.0,1
-0.2,0.0,-701.1800000000001,-731.0,1
-0.2,0.0,-701.21,-731.0,1
-0.18,0.0,-701.22,-731.0,1
-0.18,0.0,-701.27,-731.25,1
-0.19999999999999998,0.0,-701.36,-731.5,1
-0.19999999999999998,0.0,-701.39,-731.5,1
-0.2,0.0,-701.49,-731.5,1
-0.2,0.0,-701.5300000000001,-731.5,1
-0.2,0.0,-701.61,-731.5,1
-0.2,0.0,-701.6400000000001,-731.5,1
-0.2,0.0,-701.69,-731.5,1
-0.2,0.0,-701.8,-731.5,1
-0.2,0.0,-716.5799999999999,-731.5,1
-0.2,0.0,-716.6899999999999,-731.5,1
-0.22,0.0,-716.73,-731.5,1
-0.22,0.0,-716.81,-731.5,1
-0.22,0.0,-716.82,-731.5,1
-0.22,0.0,-716.89,-731.5,1
-0.24,0.0,-702.16,-731.5,1
-0.22,0.0,-702.1400000000001,-731.5,1
-0.24000000000000002,0.0,-702.1100000000001,-731.5,1
-0.26,0.0,-702.11,-731.5,1
-0.28,0.0,-702.14,-731.5,1
-0.28,0.0,-702.1500000000001,-731.5,1
-0.28,0.0,-702.1300000000001,-731.5,1
-0.28,0.0,-702.13,-731.5,1
-0.28,0.0,-702.0999999999999,-731.5,1
-0.28,0.0,-702.08,-731.5,1
-0.28,0.0,-702.03,-731.5,1
-0.28,0.0,-702.05,-731.5,1
-0.28,0.0,-702.04,-731.5,1
-0.30000000000000004,0.0,-702.02,-731.5,1
-0.30000000000000004,0.0,-701.96,-731.5,1
-0.28,0.0,-701.9200000000001,-731.5,1
-0.28,0.0,-701.9100000000001,-731.5,1
-0.30000000000000004,0.0,-701.8700000000001,-731.5,1
-0.30000000000000004,0.0,-701.8000000000001,-731.5,1
-0.3,0.0,-701.78,-731.5,1
-0.28,0.0,-701.7,-731.5,1
-0.30000000000000004,0.0,-701.7,-731.5,1
-0.30000000000000004,0.0,-716.47,-731.5,1
-0.30000000000000004,0.0,-716.45,-731.5,1
-0.26,0.0,-716.4200000000001,-731.5,1
-0.26,0.0,-716.4,-731.5,1
-0.24000000000000002,0.0,-716.34,-731.25,1
-0.24000000000000002,0.0,-716.3100000000001,-731.0,1
-0.24000000000000002,0.0,-701.4799999999999,-731.0,1
-0.26,0.0,-701.4499999999999,-731.0,1
-0.26,0.0,-701.4300000000001,-731.0,1
-0.24000000000000002,0.0,-701.45,-731.0,1
-0.26,0.0,-701.45,-731.0,1
-0.26,0.0,-701.4100000000001,-731.0,1
-0.28,0.0,-701.3800000000001,-731.0,1
-0.26,0.0,-701.3700000000001,-731.0,1
-0.24,0.0,-701.35,-731.0,1
-0.24,0.0,-701.3599999999999,-731.0,1
-0.26,0.0,-701.3,-731.0,1
-0.28,0.0,-701.32,-731.0,1
-0.28,0.0,-701.3399999999999,-731.0,1
-0.28,0.0,-701.3299999999999,-731.0,1
-0.28,0.0,-701.34,-731.0,1
-0.28,0.0,-701.27,-731.0,1
-0.28,0.0,-701.2,-730.75,1
-0.28,0.0,-701.1300000000001,-730.5,1
-0.26,0.0,-701.0800000000002,-730.5,1
-0.26,0.0,-701.09,-730.5,1
-0.28,0.0,-701.1099999999999,-730.5,1
-0.26,0.0,-701.0699999999999,-730.5,1
-0.24000000000000002,0.0,-715.8500000000001,-730.5,1
-0.24,0.0,-715.8400000000001,-730.5,1
-0.22000000000000003,0.0,-715.8700000000001,-730.5,1
-0.22,0.0,-715.82,-730.5,1
-0.21999999999999997,0.0,-715.7600000000001,-730.5,1
-0.22,0.0,-715.7600000000001,-730.5,1
-0.21999999999999997,0.0,-700.9399999999999,-730.5,1
-0.23999999999999996,0.0,-700.92,-730.5,1
-0.24000000000000002,0.0,-700.9300000000001,-730.5,1
-0.24000000000000002,0.0,-700.8900000000001,-730.5,1
-0.22,0.0,-700.9200000000001,-730.5,1
-0.22,0.0,-700.91,-730.5,1
-0.24,0.0,-700.9300000000001,-730.75,1
-0.26,0.0,-700.8800000000001,-730.5,1
-0.25999999999999995,0.0,-700.8700000000001,-730.5,1
-0.26,0.0,-700.9000000000001,-730.5,1
-0.26,0.0,-700.9,-730.5,1
-0.24000000000000002,0.0,-700.91,-730.5,1
-0.24000000000000002,0.0,-700.95,-730.75,1
-0.24000000000000002,0.0,-700.9100000000001,-730.5,1
-0.22,0.0,-701.0,-730.75,1
-0.2,0.0,-701.0,-730.75,1
-0.2,0.0,-701.02,-731.0,1
-0.2,0.0,-701.0,-731.0,1
-0.2,0.0,-700.99,-730.75,1
-0.2,0.0,-701.01,-730.75,1
-0.2,0.0,-700.97,-730.5,1
-0.2,0.0,-701.0,-730.75,1
-0.2,0.0,-715.79,-730.75,1
-0.19999999999999998,0.0,-715.8199999999999,-731.0,1
-0.19999999999999998,0.0,-715.8199999999999,-731.0,1
-0.22000000000000003,0.0,-715.7900000000001,-730.75,1
-0.2,0.0,-715.75,-730.5,1
-0.2,0.0,-715.78,-730.5,1
-0.18,0.0,-700.9399999999999,-730.5,1
-0.19999999999999998,0.0,-700.91,-730.5,1
-0.19999999999999998,0.0,-700.8700000000001,-730.5,1
-0.2,0.0,-700.83,-730.5,1
-0.18,0.0,-700.8000000000001,-730.5,1
-0.16,0.0,-700.7900000000001,-730.5,1
-0.16,0.0,-700.76,-730.5,1
-0.15999999999999998,0.0,-700.74,-730.25,1
-0.11999999999999997,0.0,-700.75,-730.25,1
-0.11999999999999997,0.0,-700.79,-730.5,1
-0.12,0.0,-700.84,-730.5,1
-0.13999999999999999,0.0,-700.84,-730.5,1
-0.13999999999999999,0.0,-700.8400000000001,-730.5,1
-0.16,0.0,-700.8300000000002,-730.5,1
-0.14,0.0,-700.8100000000001,-730.5,1
-0.16,0.0,-700.83,-730.5,1
-0.16,0.0,-700.83,-730.5,1
-0.16,0.0,-700.83,-730.5,1
-0.18,0.0,-700.76,-730.5,1
-0.18,0.0,-700.7700000000001,-730.5,1
-0.16,0.0,-700.7900000000002,-730.5,1
-0.16,0.0,-700.7600000000001,-730.5,1
-0.16,0.0,-715.57,-730.5,1
-0.16,0.0,-715.5300000000001,-730.25,1
-0.16,0.0,-715.5200000000001,-730.0,1
-0.18,0.0,-715.5300000000001,-730.0,1
-0.19999999999999998,0.0,-715.52,-730.0,1
-0.21999999999999997,0.0,-715.45,-730.0,1
-0.19999999999999998,0.0,-700.57,-730.0,1
-0.16,0.0,-700.5600000000001,-730.0,1
-0.16,0.0,-700.5900000000001,-730.0,1
-0.18,0.0,-700.5800000000002,-730.0,1
-0.18,0.0,-700.5200000000002,-730.0,1
-0.18,0.0,-700.4900000000001,-730.0,1
-0.18,0.0,-700.42,-730.0,1
-0.18,0.0,-700.42,-730.0,1
-0.18,0.0,-700.3600000000001,-730.0,1
-0.18,0.0,-700.3400000000001,-730.0,1
-0.18,0.0,-700.32,-730.0,1
-0.18,0.0,-700.33,-730.0,1
-0.18,0.0,-700.2900000000002,-730.0,1
-0.19999999999999998,0.0,-700.1899999999999,-730.0,1
-0.19999999999999998,0.0,-700.2099999999999,-730.0,1
-0.2,0.0,-700.1800000000001,-730.0,1
-0.2,0.0,-700.1700000000001,-730.0,1
-0.18,0.0,-700.07,-730.0,1
-0.18,0.0,-700.0600000000001,-730.0,1
-0.18,0.0,-700.07,-730.0,1
-0.18,0.0,-700.08,-730.0,1
-0.18,0.0,-700.0500000000001,-730.0,1
-0.18,0.0,-714.9200000000001,-730.0,1
-0.16,0.0,-714.88,-730.0,1
-0.16,0.0,-714.89,-730.0,1
-0.16,0.0,-714.86,-730.0,1
-0.16,0.0,-714.85,-729.75,1
-0.16,0.0,-714.84,-729.75,1
-0.16,0.0,-699.9300000000001,-729.5,1
-0.16,0.0,-699.95,-729.75,1
-0.2,0.0,-699.86,-729.5,1
-0.2,0.0,-699.82,-729.5,1
-0.2,0.0,-699.8000000000001,-729.5,1
-0.18000000000000002,0.0,-699.7800000000001,-729.5,1
