Data[0],Time,Force,X_axis,Y_axis,Z_axis
1,2.1600,0.00,-175.5000,421.5000,-2440.5000
1,2.1800,0.00,-175.5000,417.0000,-2439.0000
1,2.2000,0.00,-174.0000,415.5000,-2439.0000
1,2.2200,0.00,-171.0000,418.5000,-2442.0000
1,2.2400,0.00,-174.0000,415.5000,-2440.5000
1,2.2600,1.00,-178.5000,420.0000,-2440.5000
1,2.2800,-1.00,-175.5000,415.5000,-2440.5000
1,2.3000,1.00,-175.5000,420.0000,-2440.5000
1,2.3200,-3.00,-178.5000,415.5000,-2439.0000
1,2.3400,0.00,-171.0000,418.5000,-2439.0000
1,2.3600,0.00,-175.5000,415.5000,-2439.0000
1,2.3800,0.00,-172.5000,417.0000,-2439.0000
1,2.4000,-2.00,-174.0000,418.5000,-2440.5000
1,2.4200,-1.00,-174.0000,418.5000,-2439.0000
1,2.4400,0.00,-177.0000,412.5000,-2440.5000
1,2.4600,0.00,-175.5000,417.0000,-2440.5000
1,2.4800,1.00,-174.0000,417.0000,-2440.5000
1,2.5000,0.00,-178.5000,421.5000,-2439.0000
1,2.5200,0.00,-174.0000,418.5000,-2440.5000
1,2.5400,0.00,-175.5000,415.5000,-2440.5000
1,2.5600,-1.00,-168.0000,417.0000,-2440.5000
1,2.5800,0.00,-172.5000,417.0000,-2442.0000
1,2.6000,0.00,-174.0000,415.5000,-2439.0000
1,2.6200,0.00,-175.5000,417.0000,-2440.5000
1,2.6400,0.00,-175.5000,417.0000,-2440.5000
1,2.6600,0.00,-175.5000,414.0000,-2440.5000
1,2.6800,0.00,-5433.0000,415.5000,-2440.5000
1,2.7000,1.00,-171.0000,418.5000,-2439.0000
1,2.7200,-1.00,-172.5000,415.5000,-2440.5000
1,2.7400,0.00,-172.5000,418.5000,-2440.5000
1,2.7600,0.00,-177.0000,417.0000,-2440.5000
1,2.7800,2.00,-175.5000,421.5000,-2439.0000
1,2.8000,0.00,-172.5000,418.5000,-2440.5000
1,2.8200,0.00,-174.0000,415.5000,-2440.5000
1,2.8400,4.00,-174.0000,417.0000,-2440.5000
1,2.8600,0.00,-178.5000,418.5000,-2440.5000
1,2.8800,0.00,-172.5000,421.5000,-2439.0000
1,2.9000,0.00,-177.0000,415.5000,-2439.0000
1,2.9200,1.00,-177.0000,417.0000,-2442.0000
1,2.9400,2.00,-174.0000,420.0000,-2442.0000
1,2.9600,0.00,-177.0000,415.5000,-2440.5000
1,2.9800,1.00,-171.0000,415.5000,-2440.5000
1,3.0000,1.00,-175.5000,417.0000,-2439.0000
1,3.0200,0.00,-174.0000,418.5000,-2440.5000
1,3.0400,1.00,-178.5000,415.5000,-2439.0000
1,3.0600,-1.00,-178.5000,415.5000,-2439.0000
1,3.0800,2.00,-171.0000,414.0000,-2440.5000
1,3.1000,0.00,-180.0000,409.5000,-2439.0000
1,3.1200,2.00,-177.0000,418.5000,-2440.5000
1,3.1400,2.00,-175.5000,417.0000,-2439.0000
1,3.1600,0.00,-177.0000,418.5000,-2440.5000
1,3.1800,-1.00,-172.5000,417.0000,-2440.5000
1,3.2000,1.00,-177.0000,415.5000,-2439.0000
1,3.2200,-1.00,-174.0000,415.5000,-2442.0000
1,3.2400,-3.00,-175.5000,414.0000,-2439.0000
1,3.2600,0.00,-174.0000,414.0000,-2440.5000
1,3.2800,0.00,-178.5000,415.5000,-2440.5000
1,3.3000,-2.00,-175.5000,418.5000,-2439.0000
1,3.3200,1.00,-174.0000,414.0000,-2440.5000
1,3.3400,2.00,-175.5000,415.5000,-2440.5000
1,3.3600,0.00,-174.0000,418.5000,-2440.5000
1,3.3800,0.00,-172.5000,418.5000,-2440.5000
1,3.4000,0.00,-171.0000,420.0000,-2439.0000
1,3.4200,0.00,-177.0000,417.0000,-2440.5000
1,3.4400,0.00,-177.0000,414.0000,-2439.0000
1,3.4600,-1.00,-174.0000,417.0000,-2439.0000
1,3.4800,-2.00,-174.0000,414.0000,-2440.5000
1,3.5000,1.00,-177.0000,415.5000,-2439.0000
1,3.5200,0.00,-172.5000,418.5000,-2440.5000
1,3.5400,0.00,-124.5000,295.5000,-1722.0000
1,3.5600,1.00,-178.5000,412.5000,-2442.0000
1,3.5800,0.00,-172.5000,415.5000,-2437.5000
1,3.6000,0.00,-174.0000,418.5000,-2440.5000
1,3.6200,1.00,-177.0000,417.0000,-2440.5000
1,3.6400,-1.00,-174.0000,414.0000,-2440.5000
1,3.6600,1.00,-174.0000,415.5000,-2439.0000
1,3.6800,0.00,-175.5000,411.0000,-2440.5000
1,3.7000,2.00,-169.5000,415.5000,-2440.5000
1,3.7200,0.00,-171.0000,411.0000,-2440.5000
1,3.7400,0.00,-174.0000,420.0000,-2440.5000
1,3.7600,-2.00,-174.0000,417.0000,-2442.0000
1,3.7800,0.00,-171.0000,411.0000,-2440.5000
1,3.8000,-1.00,-172.5000,417.0000,-2440.5000
1,3.8200,0.00,-177.0000,417.0000,-2440.5000
1,3.8400,-1.00,-174.0000,415.5000,-2440.5000
1,3.8600,0.00,-178.5000,417.0000,-2442.0000
1,3.8800,0.00,-178.5000,417.0000,-2439.0000
1,3.9000,-1.00,-172.5000,415.5000,-2439.0000
1,3.9200,1.00,-172.5000,411.0000,-2439.0000
1,3.9400,0.00,-174.0000,417.0000,-2440.5000
1,3.9600,0.00,-177.0000,417.0000,-2439.0000
1,3.9800,0.00,-174.0000,417.0000,-2440.5000
1,4.0000,0.00,-172.5000,414.0000,-2442.0000
1,4.0200,-1.00,-175.5000,415.5000,-2439.0000
1,4.0400,-1.00,-169.5000,414.0000,-2437.5000
1,4.0600,1.00,-174.0000,415.5000,-2439.0000
1,4.0800,0.00,-174.0000,417.0000,-2439.0000
1,4.1000,0.00,-172.5000,417.0000,-2440.5000
1,4.1200,0.00,-5410.5000,412.5000,-2442.0000
1,4.1400,0.00,-172.5000,415.5000,-2440.5000
1,4.1600,-1.00,-172.5000,415.5000,-2440.5000
1,4.1800,0.00,-175.5000,414.0000,-2440.5000
1,4.2000,0.00,-175.5000,414.0000,-2440.5000
1,4.2200,2.00,-174.0000,415.5000,-2439.0000
1,4.2400,0.00,-177.0000,418.5000,-2439.0000
1,4.2600,1.00,-178.5000,412.5000,-2439.0000
1,4.2800,0.00,-174.0000,415.5000,-2439.0000
1,4.3000,0.00,-174.0000,418.5000,-2439.0000
1,4.3200,-1.00,-178.5000,418.5000,-2437.5000
1,4.3400,0.00,-178.5000,418.5000,-2439.0000
1,4.3600,2.00,-180.0000,417.0000,-2440.5000
1,4.3800,0.00,-177.0000,417.0000,-2437.5000
1,4.4000,-1.00,-172.5000,415.5000,-2439.0000
1,4.4200,0.00,-178.5000,420.0000,-2439.0000
1,4.4400,-1.00,-178.5000,417.0000,-2439.0000
1,4.4600,0.00,-177.0000,412.5000,-2437.5000
1,4.4800,2.00,-180.0000,418.5000,-2440.5000
1,4.5000,0.00,-177.0000,415.5000,-2440.5000
1,4.5200,0.00,-178.5000,415.5000,-2440.5000
1,4.5400,0.00,-177.0000,415.5000,-2439.0000
1,4.5600,0.00,-183.0000,411.0000,-2440.5000
1,4.5800,0.00,-178.5000,406.5000,-2439.0000
1,4.6000,0.00,-177.0000,406.5000,-2437.5000
1,4.6200,1.00,-178.5000,412.5000,-2439.0000
1,4.6400,2.00,-177.0000,412.5000,-2437.5000
1,4.6600,0.00,-178.5000,411.0000,-2440.5000
1,4.6800,-1.00,-180.0000,412.5000,-2439.0000
1,4.7000,1.00,-178.5000,411.0000,-2439.0000
1,4.7200,2.00,-175.5000,411.0000,-2437.5000
1,4.7400,0.00,-180.0000,409.5000,-2437.5000
1,4.7600,1.00,-177.0000,414.0000,-2437.5000
1,4.7800,2.00,-178.5000,415.5000,-2437.5000
1,4.8000,0.00,-178.5000,418.5000,-2437.5000
1,4.8200,0.00,-175.5000,418.5000,-2436.0000
1,4.8400,0.00,-177.0000,412.5000,-2436.0000
1,4.8600,2.00,-175.5000,414.0000,-2437.5000
1,4.8800,0.00,-180.0000,415.5000,-2437.5000
1,4.9000,0.00,-180.0000,418.5000,-2436.0000
1,4.9200,-1.00,-177.0000,417.0000,-2436.0000
1,4.9400,-1.00,-183.0000,417.0000,-2434.5000
1,4.9600,0.00,-175.5000,415.5000,-2437.5000
1,4.9800,-2.00,-178.5000,417.0000,-2436.0000
1,5.0000,-1.00,-175.5000,412.5000,-2434.5000
1,5.0200,-2.00,-177.0000,417.0000,-2436.0000
1,5.0400,0.00,-180.0000,414.0000,-2437.5000
1,5.0600,0.00,-178.5000,418.5000,-2434.5000
1,5.0800,1.00,-177.0000,415.5000,-2434.5000
1,5.1000,2.00,-178.5000,412.5000,-2434.5000
1,5.1200,3.00,-174.0000,415.5000,-2434.5000
1,5.1400,2.00,-177.0000,418.5000,-2436.0000
1,5.1600,0.00,-171.0000,414.0000,-2434.5000
1,5.1800,0.00,-178.5000,418.5000,-2433.0000
1,5.2000,-1.00,-178.5000,415.5000,-2433.0000
1,5.2200,-1.00,-178.5000,417.0000,-2433.0000
1,5.2400,-1.00,-178.5000,420.0000,-2436.0000
1,5.2600,0.00,-183.0000,418.5000,-2436.0000
1,5.2800,-2.00,-178.5000,417.0000,-2433.0000
1,5.3000,-1.00,-178.5000,417.0000,-2434.5000
1,5.3200,0.00,-177.0000,415.5000,-2434.5000
1,5.3400,-1.00,-181.5000,414.0000,-2434.5000
1,5.3600,1.00,-181.5000,415.5000,-2433.0000
1,5.3800,0.00,-177.0000,424.5000,-2434.5000
1,5.4000,-1.00,-178.5000,414.0000,-2434.5000
1,5.4200,-1.00,-181.5000,418.5000,-2436.0000
1,5.4400,0.00,-178.5000,408.0000,-2436.0000
1,5.4600,0.00,-175.5000,417.0000,-2439.0000
1,5.4800,4.00,-178.5000,417.0000,-2437.5000
