<<<<<<< HEAD
Data[0],Time,Force,Mag_ave,Accel_ave,Gyro_ave,Class
1,0.02,2,107.5,0.447666667,0.162766667,1
1,0.04,2,109,0.446366667,0.590033333,1
1,0.06,2,110.5,0.450133333,1.464833333,1
1,0.08,3,108.5,0.444266667,0.4476,1
1,0.1,2,108.5,0.445333333,0.345833333,1
1,0.12,-3,107.5,0.441833333,0.122066667,1
1,0.14,0,109.5,0.438833333,0.122066667,1
1,0.16,3,108.5,0.4462,0.1628,1
1,0.18,-1,110,0.442633333,0.325533333,1
1,0.2,2,109,0.442566667,-0.061066667,1
1,0.22,1,110.5,0.439366667,0.1424,1
1,0.24,3,108.5,0.438466667,0.2238,1
1,0.26,1,109,0.442666667,0.162766667,1
1,0.28,1,109,0.437,0.793466667,1
1,0.3,3,108,0.4412,0.508633333,1
1,0.32,5,107.5,0.435666667,0.447633333,1
1,0.34,0,108.5,0.4396,0.7324,1
1,0.36,3,107.5,0.438066667,0.305166667,1
1,0.38,3,109,0.441666667,0.1831,1
1,0.4,2,107.5,0.435966667,9.25E-18,1
1,0.42,0,108.5,0.438966667,-0.630666667,1
1,0.44,2,108,0.4399,-0.651033333,1
1,0.46,3,110,0.4347,-0.7121,1
1,0.48,0,109.5,0.438766667,-0.8138,1
1,0.5,2,110,0.4369,-0.7731,1
1,0.52,1,108.5,0.4346,-0.3459,1
1,0.54,3,107.5,0.4387,-0.244166667,1
1,0.56,4,109.5,0.436166667,0.0407,1
1,0.58,1,0,0.436,0.0814,1
1,0.6,4,108.5,0.437,0.162766667,1
1,0.62,0,107,0.4347,0.244133333,1
1,0.64,0,108,0.438133333,0.284833333,1
1,0.66,3,108.5,0.4345,0.1017,1
1,0.68,2,111,0.438533333,0.1424,1
1,0.7,3,109.5,0.438466667,0.0407,1
1,0.72,4,110,0.4355,-0.0407,1
1,0.74,-1,109.5,0.439533333,-0.305166667,1
1,0.76,2,109,0.432866667,-0.508633333,1
1,0.78,3,107.5,0.437266667,-0.6917,1
1,0.8,1,111,0.4363,-1.586933333,1
1,0.82,5,109.5,0.437666667,-3.641766667,1
1,0.84,-3,109.5,0.44,-3.9673,1
1,0.86,2,110,0.434866667,-7.914233333,1
1,0.88,0,109,0.443766667,-10.76253333,1
1,0.9,2,109.5,0.431133333,-17.98503333,1
1,0.92,3,109.5,0.437766667,-15.93016667,1
1,0.94,2,109.5,0.465366667,-9.6232,1
1,0.96,2,108,0.429966667,-12.9191,1
1,0.98,4,108.5,0.462566667,-4.1911,1
1,1,1,108.5,0.488033333,-1.8921,1
1,1.02,2,107.5,0.453766667,5.6559,1
1,1.04,4,110,0.4549,13.7329,1
1,1.06,1,107.5,0.450533333,20.65023333,1
1,1.08,1,109.5,0.422766667,22.62373333,1
1,1.1,3,107.5,0.4344,25.49233333,1
1,1.12,3,110.5,0.4294,16.5202,1
1,1.14,3,111,0.429966667,14.60776667,1
1,1.16,4,110.5,0.4242,10.9253,1
1,1.18,2,110,0.4219,11.00666667,1
1,1.2,1,111.5,0.418866667,11.02703333,1
1,1.22,2,111,0.415233333,10.70146667,1
1,1.24,2,110,0.410533333,8.992533333,1
1,1.26,2,110.5,0.403,9.0739,1
1,1.28,3,111,0.400033333,7.283533333,1
1,1.3,4,112,0.399566667,5.818666667,1
1,1.32,3,114,0.395566667,4.9235,1
1,1.34,0,112.5,0.3902,4.313166667,1
1,1.36,-3,113,0.389266667,2.644866667,1
1,1.38,1,112.5,0.3878,2.0345,1
1,1.4,1,112.5,0.386533333,0.691733333,1
1,1.42,2,111.5,0.392066667,-0.7324,1
1,1.44,6,111.5,0.382433333,-1.281733333,1
1,1.46,0,112.5,0.403933333,-2.6245,1
1,1.48,2,111,0.4031,-0.162733333,1
1,1.5,5,111,0.412866667,1.3631,1
1,1.52,2,111.5,0.365066667,4.1911,1
1,1.54,3,111.5,0.3551,4.598,1
1,1.56,1,114,0.357966667,6.022133333,1
1,1.58,1,112.5,0.363933333,6.6325,1
1,1.6,3,112.5,0.3848,5.371066667,1
1,1.62,3,114,0.384866667,4.414866667,1
1,1.64,2,112,0.387466667,5.208333333,1
1,1.66,1,111.5,0.385466667,4.089333333,1
1,1.68,3,113,0.3827,2.7059,1
1,1.7,3,109,0.374933333,-0.3662,1
1,1.72,-3,112,0.374266667,-1.383466667,1
1,1.74,2,112.5,0.402333333,-2.889,1
1,1.76,2,113,0.403733333,-5.8187,1
1,1.78,2,112.5,0.398066667,-6.856266667,1
1,1.8,6,111.5,0.406666667,-3.946966667,1
1,1.82,2,114,0.383366667,-1.8514,1
1,1.84,2,111,0.3844,-2.156566667,1
1,1.86,4,114.5,0.410833333,-0.040666667,1
1,1.88,2,112,0.4072,1.363133333,1
1,1.9,3,114.5,0.417366667,3.4383,1
1,1.92,-1,109.5,0.4111,3.580733333,1
1,1.94,3,112,0.4038,2.319366667,1
1,1.96,2,110.5,0.403233333,6.083166667,1
1,1.98,4,110.5,0.4039,5.3304,1
1,2,3,110,0.356633333,1.363133333,1
1,2.02,3,111.5,0.387366667,-0.651033333,1
1,2.04,3,111.5,0.424366667,-2.827933333,1
1,2.06,3,111.5,0.433233333,0.1831,1
1,2.08,-4,109.5,0.4084,2.950033333,1
1,2.1,1,108,0.392166667,1.2614,1
1,2.12,3,109,0.437433333,0.569666667,1
1,2.14,1,111.5,0.425766667,-1.5869,1
1,2.16,2,111,0.412833333,-1.810733333,1
1,2.18,2,111,0.3996,1.525866667,1
1,2.2,1,110,0.4382,0.4476,1
1,2.22,1,110,0.427266667,-2.014166667,1
1,2.24,1,111,0.4176,-1.383433333,1
1,2.26,2,111.5,0.4165,-4.7404,1
1,2.28,0,111.5,0.4209,-4.760733333,1
1,2.3,2,108.5,0.4222,-3.092433333,1
1,2.32,2,109.5,0.418533333,-3.4383,1
1,2.34,3,112,0.417933333,-4.333466667,1
1,2.36,2,109.5,0.409333333,-3.255166667,1
1,2.38,2,110,0.4119,-2.766933333,1
1,2.4,2,110.5,0.4185,-2.502433333,1
1,2.42,4,110.5,0.379433333,-0.976566667,1
1,2.44,-4,112,0.392933333,-3.194166667,1
1,2.46,-3,111,0.429833333,-3.194166667,1
1,2.48,-2,111,0.436466667,-0.2848,1
1,2.5,1,112,0.434766667,-2.929666667,1
1,2.52,3,109.5,0.4259,1.424133333,1
1,2.54,2,109.5,0.409433333,0.935866667,1
1,2.56,3,110,0.366366667,-0.244133333,1
1,2.58,0,110.5,0.385466667,-0.976533333,1
1,2.6,3,110,0.4108,-2.2176,1
1,2.62,2,110.5,0.414733333,-3.479,1
1,2.64,-2,111,0.432666667,-0.122033333,1
1,2.66,2,111,0.436666667,0.244133333,1
1,2.68,3,111.5,0.450633333,0.081366667,1
1,2.7,0,111.5,0.4241,1.057933333,1
1,2.72,4,110.5,0.419166667,1.2207,1
1,2.74,4,110,0.416233333,0.752766667,1
1,2.76,3,110.5,0.415066667,0.6307,1
