Data[0],Time,Force,Mag,Accel,Gyro
1,2.3400,7.00,24.0000,0.8102,-0.1831
1,2.3600,7.00,25.5000,0.8104,-0.1221
1,2.3800,7.00,25.5000,0.8105,0.3052
1,2.4000,7.00,22.5000,0.8103,-0.2441
1,2.4200,6.00,22.5000,0.8107,-0.1831
1,2.4400,6.00,24.0000,0.8107,-0.1831
1,2.4600,9.00,25.5000,0.8098,-0.1831
1,2.4800,6.00,21.0000,0.8103,-0.1831
1,2.5000,8.00,25.5000,0.8097,-0.1831
1,2.5200,6.00,24.0000,0.8104,-0.1831
1,2.5400,4.00,22.5000,0.8113,-0.1831
1,2.5600,7.00,22.5000,0.8108,-0.1831
1,2.5800,8.00,21.0000,0.8108,-0.1831
1,2.6000,4.00,22.5000,0.8099,-0.1831
1,2.6200,6.00,22.5000,0.8105,-0.1831
1,2.6400,9.00,21.0000,0.8105,-0.1831
1,2.6600,8.00,24.0000,0.8114,-0.1831
1,2.6800,6.00,21.0000,0.8105,-0.1831
1,2.7000,7.00,22.5000,0.8110,-0.1831
1,2.7200,6.00,21.0000,0.8109,-0.1831
1,2.7400,7.00,24.0000,0.8107,-0.1831
1,2.7600,7.00,22.5000,0.8113,-0.1831
1,2.7800,8.00,27.0000,0.8113,-0.1831
1,2.8000,5.00,24.0000,0.8105,-0.1831
1,2.8200,7.00,19.5000,0.8104,-0.1831
1,2.8400,4.00,25.5000,0.8109,-0.1221
1,2.8600,8.00,22.5000,0.8102,-0.1221
1,2.8800,5.00,19.5000,0.8105,-0.1831
1,2.9000,9.00,22.5000,0.8113,-0.1831
1,2.9200,5.00,22.5000,0.8110,-0.1831
1,2.9400,6.00,18.0000,0.8114,-0.1831
1,2.9600,6.00,19.5000,0.8105,-0.2441
1,2.9800,7.00,24.0000,0.8112,-0.1831
1,3.0000,5.00,22.5000,0.8107,-0.1831
1,3.0200,7.00,28.5000,0.8108,-0.1831
1,3.0400,5.00,21.0000,0.8103,-0.1831
1,3.0600,7.00,25.5000,0.8112,-0.1831
1,3.0800,5.00,21.0000,0.8103,-0.1831
1,3.1000,6.00,21.0000,0.8113,-0.1831
1,3.1200,7.00,25.5000,0.8109,-0.1831
1,3.1400,7.00,24.0000,0.8097,-0.1831
1,3.1600,8.00,24.0000,0.8103,-0.1831
1,3.1800,6.00,22.5000,0.8114,-0.1831
1,3.2000,6.00,21.0000,0.8105,-0.1831
1,3.2200,7.00,25.5000,0.8105,-0.2441
1,3.2400,8.00,21.0000,0.8103,-0.1831
1,3.2600,7.00,21.0000,0.8108,-0.1831
1,3.2800,6.00,22.5000,0.8102,-0.2441
1,3.3000,7.00,25.5000,0.8105,-0.1831
1,3.3200,6.00,19.5000,0.8105,-0.2441
1,3.3400,11.00,22.5000,0.8103,-0.1831
1,3.3600,6.00,22.5000,0.8109,-0.1831
1,3.3800,5.00,19.5000,0.8107,-0.2441
1,3.4000,6.00,21.0000,0.8105,-0.1831
1,3.4200,7.00,24.0000,0.8108,-0.1831
1,3.4400,8.00,18.0000,0.8097,-0.1221
1,3.4600,5.00,21.0000,0.8104,-0.1831
1,3.4800,5.00,24.0000,0.8124,-0.1221
1,3.5000,7.00,21.0000,0.8103,-0.1221
1,3.5200,5.00,22.5000,0.8109,-0.2441
1,3.5400,7.00,19.5000,0.8114,-0.1831
1,3.5600,6.00,22.5000,0.8101,-0.1221
1,3.5800,6.00,19.5000,0.8098,-0.1831
1,3.6000,6.00,21.0000,0.8102,-0.1831
1,3.6200,6.00,25.5000,0.8104,-0.1831
1,3.6400,6.00,25.5000,0.8096,-0.1831
1,3.6600,8.00,21.0000,0.8112,-0.1831
1,3.6800,5.00,21.0000,0.8110,-0.1221
1,3.7000,8.00,22.5000,0.8105,-0.1831
1,3.7200,4.00,18.0000,0.8109,-0.1831
1,3.7400,6.00,22.5000,0.8099,-0.1831
1,3.7600,6.00,21.0000,0.8108,-0.1831
1,3.7800,6.00,25.5000,0.8102,-0.1831
1,3.8000,6.00,22.5000,0.8109,-0.2441
1,3.8200,9.00,24.0000,0.8109,-0.2441
1,3.8400,8.00,24.0000,0.8110,-0.1831
1,3.8600,6.00,19.5000,0.8107,-0.1831
1,3.8800,7.00,24.0000,0.8105,-0.1831
1,3.9000,6.00,24.0000,0.8112,-0.1831
1,3.9200,4.00,22.5000,0.8105,-0.1831
1,3.9400,8.00,22.5000,0.8105,-0.1831
1,3.9600,6.00,22.5000,0.8108,-0.1831
1,3.9800,5.00,19.5000,0.8112,-0.1831
1,4.0000,5.00,21.0000,0.8103,-0.1831
1,4.0200,6.00,21.0000,0.8110,-0.1831
1,4.0400,6.00,19.5000,0.8108,-0.1831
1,4.0600,6.00,24.0000,0.8101,-0.1831
1,4.0800,6.00,22.5000,0.8109,-0.1831
1,4.1000,7.00,22.5000,0.8108,-0.1831
1,4.1200,5.00,21.0000,0.8108,-0.1831
1,4.1400,7.00,22.5000,0.8109,-0.1831
1,4.1600,5.00,25.5000,0.8103,-0.1221
1,4.1800,10.00,24.0000,0.8109,-0.1831
1,4.2000,6.00,22.5000,0.8108,-0.1831
1,4.2200,4.00,22.5000,0.8107,-0.2441
1,4.2400,6.00,22.5000,0.8110,-0.1831
1,4.2600,10.00,19.5000,0.8105,-0.1831
1,4.2800,7.00,22.5000,0.8096,-0.1831
1,4.3000,6.00,22.5000,0.8110,-0.1831
1,4.3200,7.00,19.5000,0.8112,-0.1831
1,4.3400,5.00,22.5000,0.8096,-0.1831
1,4.3600,5.00,18.0000,0.8103,-0.1831
1,4.3800,7.00,25.5000,0.8109,-0.1831
1,4.4000,7.00,24.0000,0.8108,-0.1831
1,4.4200,3.00,19.5000,0.8104,-0.1831
1,4.4400,7.00,24.0000,0.8112,-0.1831
1,4.4600,5.00,25.5000,0.8104,-0.1831
