ave_filt_force,med_filt_force,ave_filt_mag,med_filt_mag,ave_filt_accel,med_filt_accel,ave_filt_gyro,med_filt_gyro,Class
-0.22,0.0,-722.31,-722.25,-722.31,-722.25,-722.31,-722.25,1
-0.21999999999999997,0.0,-722.4399999999999,-722.5,-722.4399999999999,-722.5,-722.4399999999999,-722.5,1
-0.24000000000000002,0.0,-722.6099999999999,-722.5,-722.6099999999999,-722.5,-722.6099999999999,-722.5,1
-0.26,0.0,-722.73,-722.5,-722.73,-722.5,-722.73,-722.5,1
-0.26,0.0,-722.8199999999999,-722.75,-722.8199999999999,-722.75,-722.8199999999999,-722.75,1
-0.26,0.0,-722.9899999999999,-723.0,-722.9899999999999,-723.0,-722.9899999999999,-723.0,1
-0.28,0.0,-723.1399999999999,-723.0,-723.1399999999999,-723.0,-723.1399999999999,-723.0,1
-0.26,0.0,-723.35,-723.25,-723.35,-723.25,-723.35,-723.25,1
-0.26,0.0,-723.5300000000001,-723.5,-723.5300000000001,-723.5,-723.5300000000001,-723.5,1
-0.26,0.0,-723.6399999999999,-723.5,-723.6399999999999,-723.5,-723.6399999999999,-723.5,1
-0.22,0.0,-723.7800000000001,-723.5,-723.7800000000001,-723.5,-723.7800000000001,-723.5,1
-0.22,0.0,-723.9300000000002,-723.75,-723.9300000000002,-723.75,-723.9300000000002,-723.75,1
-0.22000000000000003,0.0,-724.1200000000001,-724.0,-724.1200000000001,-724.0,-724.1200000000001,-724.0,1
-0.22000000000000003,0.0,-724.28,-724.25,-724.28,-724.25,-724.28,-724.25,1
-0.22,0.0,-724.4399999999999,-724.75,-724.4399999999999,-724.75,-724.4399999999999,-724.75,1
-0.24,0.0,-724.6500000000001,-725.0,-724.6500000000001,-725.0,-724.6500000000001,-725.0,1
-0.24000000000000002,0.0,-724.8600000000001,-725.25,-724.8600000000001,-725.25,-724.8600000000001,-725.25,1
-0.24000000000000002,0.0,-725.0400000000001,-725.5,-725.0400000000001,-725.5,-725.0400000000001,-725.5,1
-0.26,0.0,-725.2800000000001,-725.5,-725.2800000000001,-725.5,-725.2800000000001,-725.5,1
-0.26,0.0,-725.52,-725.5,-725.52,-725.5,-725.52,-725.5,1
-0.24,0.0,-725.73,-725.75,-725.73,-725.75,-725.73,-725.75,1
-0.24,0.0,-725.9200000000001,-726.0,-725.9200000000001,-726.0,-725.9200000000001,-726.0,1
-0.24,0.0,-726.13,-726.0,-726.13,-726.0,-726.13,-726.0,1
-0.24,0.0,-726.3,-726.0,-726.3,-726.0,-726.3,-726.0,1
-0.26,0.0,-726.56,-726.0,-726.56,-726.0,-726.56,-726.0,1
-0.26,0.0,-726.7,-726.25,-726.7,-726.25,-726.7,-726.25,1
-0.26,0.0,-726.8100000000001,-726.75,-726.8100000000001,-726.75,-726.8100000000001,-726.75,1
-0.26,0.0,-726.97,-727.25,-726.97,-727.25,-726.97,-727.25,1
-0.24000000000000002,0.0,-727.1,-727.5,-727.1,-727.5,-727.1,-727.5,1
-0.22000000000000003,0.0,-727.26,-727.5,-727.26,-727.5,-727.26,-727.5,1
-0.22,0.0,-727.39,-727.5,-727.39,-727.5,-727.39,-727.5,1
-0.22,0.0,-727.5699999999999,-727.5,-727.5699999999999,-727.5,-727.5699999999999,-727.5,1
-0.22000000000000003,0.0,-727.76,-727.75,-727.76,-727.75,-727.76,-727.75,1
-0.22000000000000003,0.0,-727.9200000000001,-728.0,-727.9200000000001,-728.0,-727.9200000000001,-728.0,1
-0.2,0.0,-728.1,-728.25,-728.1,-728.25,-728.1,-728.25,1
-0.22,0.0,-728.27,-728.5,-728.27,-728.5,-728.27,-728.5,1
-0.22,0.0,-728.4699999999999,-728.75,-728.4699999999999,-728.75,-728.4699999999999,-728.75,1
-0.24,0.0,-728.6399999999999,-729.0,-728.6399999999999,-729.0,-728.6399999999999,-729.0,1
-0.26,0.0,-728.87,-729.0,-728.87,-729.0,-728.87,-729.0,1
-0.24,0.0,-729.0699999999999,-729.5,-729.0699999999999,-729.5,-729.0699999999999,-729.5,1
-0.24000000000000002,0.0,-729.22,-730.0,-729.22,-730.0,-729.22,-730.0,1
-0.24,0.0,-729.3500000000001,-730.0,-729.3500000000001,-730.0,-729.3500000000001,-730.0,1
