1,759.2584,0.00,-174.0000,412.5000,-2449.5000
1,759.2784,1.00,-171.0000,412.5000,-2448.0000
1,759.2984,0.00,-175.5000,412.5000,-2449.5000
1,759.3184,0.00,-177.0000,411.0000,-2448.0000
1,759.3385,0.00,-175.5000,409.5000,-2449.5000
1,759.3585,0.00,-171.0000,411.0000,-2449.5000
1,759.3785,-2.00,-174.0000,414.0000,-2449.5000
1,759.3985,1.00,-175.5000,411.0000,-2449.5000
1,759.4185,0.00,-174.0000,415.5000,-2452.5000
1,759.4385,0.00,-174.0000,411.0000,-2452.5000
1,759.4586,1.00,-174.0000,412.5000,-2451.0000
1,759.4786,0.00,-174.0000,411.0000,-2451.0000
1,759.4986,0.00,-168.0000,409.5000,-2449.5000
1,759.5186,-1.00,-174.0000,406.5000,-2451.0000
1,759.5386,0.00,-175.5000,411.0000,-2451.0000
1,759.5587,0.00,-171.0000,414.0000,-2449.5000
1,759.5787,0.00,-175.5000,412.5000,-2451.0000
1,759.5987,4.00,-169.5000,411.0000,-2449.5000
1,759.6187,0.00,-172.5000,411.0000,-2449.5000
1,759.6387,0.00,-174.0000,408.0000,-2451.0000
1,759.6588,-1.00,-168.0000,412.5000,-2451.0000
1,759.6788,-1.00,-172.5000,412.5000,-2448.0000
1,759.6988,1.00,-175.5000,409.5000,-2452.5000
1,759.7188,0.00,-169.5000,411.0000,-2449.5000
1,759.7388,2.00,-177.0000,412.5000,-2451.0000
1,759.7589,0.00,-172.5000,409.5000,-2449.5000
1,759.7789,0.00,-172.5000,412.5000,-2449.5000
1,759.7989,0.00,-172.5000,409.5000,-2449.5000
1,759.8189,-1.00,-172.5000,406.5000,-2449.5000
1,759.8389,1.00,-169.5000,409.5000,-2449.5000
1,759.8590,0.00,-174.0000,409.5000,-2451.0000
1,759.8790,1.00,-174.0000,409.5000,-2452.5000
1,759.8990,0.00,-172.5000,412.5000,-2451.0000
1,759.9190,-1.00,-177.0000,412.5000,-2448.0000
1,759.9390,0.00,-172.5000,412.5000,-2449.5000
1,759.9591,-2.00,-172.5000,412.5000,-2451.0000
1,759.9791,0.00,-169.5000,414.0000,-2448.0000
1,759.9991,0.00,-172.5000,411.0000,-2449.5000
1,760.0191,0.00,-175.5000,412.5000,-2449.5000
1,760.0391,1.00,-169.5000,411.0000,-2451.0000
1,760.0592,0.00,-174.0000,409.5000,-2449.5000
1,760.0792,0.00,-175.5000,415.5000,-2449.5000
1,760.0992,0.00,-171.0000,414.0000,-2448.0000
1,760.1192,0.00,-171.0000,411.0000,-2448.0000
1,760.1392,0.00,-177.0000,409.5000,-2449.5000
1,760.1593,0.00,-172.5000,411.0000,-2449.5000
1,760.1793,0.00,-172.5000,415.5000,-2451.0000
1,760.1993,0.00,-172.5000,411.0000,-2448.0000
1,760.2193,0.00,-174.0000,412.5000,-2449.5000
1,760.2393,1.00,-175.5000,408.0000,-2449.5000
